Município de ocorrência;Total
170390 Caseara;1
170460 Chapada de Areia;1
171670 Colméia;2
170560 Conceição do Tocantins;1
170610 Cristalândia;4
170700 Dianópolis;9
170710 Divinópolis do Tocantins;2
170720 Dois Irmãos do Tocantins;3
170755 Fátima;1
170820 Formoso do Araguaia;1
170930 Guaraí;2
171050 Itacajá;1
171195 Lagoa do Tocantins;5
171200 Lajeado;13
171215 Lavandeira;1
171250 Marianópolis do Tocantins;5
171320 Miracema do Tocantins;4
171360 Monte do Carmo;2
171510 Novo Acordo;1
172100 Palmas;1198
171575 Palmeirópolis;1
171610 Paraíso do Tocantins;6
171620 Paranã;2
171650 Pedro Afonso;4
171750 Pium;2
171790 Ponte Alta do Tocantins;3
171820 Porto Nacional;30
171840 Presidente Kennedy;1
171888 Santa Maria do Tocantins;2
171890 Santa Rosa do Tocantins;2
171900 Santa Tereza do Tocantins;2
172015 São Félix do Tocantins;2
172065 Silvanópolis;1
172093 Taipas do Tocantins;1
172125 Tupirama;1
210005 Açailândia;1
210070 Anajatuba;5
210100 Arari;4
210110 Axixá;2
210120 Bacabal;3
210125 Bacabeira;7
210170 Barreirinhas;6
210190 Bequimão;2
210210 Brejo;7
210220 Buriti;1
210232 Buriticupu;1
210250 Cajari;1
210260 Cândido Mendes;1
210270 Cantanhede;1
210300 Caxias;3
210310 Cedral;1
210320 Chapadinha;3
210330 Codó;2
210340 Coelho Neto;1
210355 Conceição do Lago-Açu;2
210370 Cururupu;1
210500 Humberto de Campos;4
210510 Icatu;3
210530 Imperatriz;3
210540 Itapecuru Mirim;4
210590 Lago Verde;2
210630 Magalhães de Almeida;1
210637 Maranhãozinho;1
210650 Matinha;1
210660 Matões;4
210675 Miranda do Norte;3
210680 Mirinzal;1
210690 Monção;1
210710 Morros;5
210740 Olho d'Água das Cunhãs;1
210745 Olinda Nova do Maranhão;2
210750 Paço do Lumiar;59
210780 Parnarama;8
210800 Pastos Bons;1
210820 Pedreiras;2
210830 Penalva;1
210840 Peri Mirim;2
210860 Pinheiro;4
210870 Pio XII;1
210910 Presidente Dutra;1
210920 Presidente Juscelino;2
210927 Presidente Sarney;1
210930 Presidente Vargas;2
210945 Raposa;10
210960 Rosário;7
210990 Santa Inês;5
211000 Santa Luzia;1
211020 Santa Rita;1
211050 São Bento;1
211070 São Domingos do Maranhão;1
211100 São João Batista;1
211110 São João dos Patos;1
211120 São José de Ribamar;84
211130 São Luís;1275
211140 São Luís Gonzaga do Maranhão;1
211178 Serrano do Maranhão;1
211210 Timbiras;1
211220 Timon;55
211227 Tufilândia;2
211230 Tuntum;1
211240 Turiaçu;1
211260 Urbano Santos;1
211270 Vargem Grande;5
211280 Viana;7
211285 Vila Nova dos Martírios;1
211290 Vitória do Mearim;4
211400 Zé Doca;1
220005 Acauã;1
220010 Agricolândia;1
220020 Água Branca;8
220030 Alto Longá;1
220040 Altos;25
220045 Alvorada do Gurguéia;1
220050 Amarante;5
220060 Angical do Piauí;2
220070 Anísio de Abreu;1
220090 Aroazes;1
220105 Assunção do Piauí;2
220115 Baixa Grande do Ribeiro;1
220120 Barras;9
220150 Batalha;3
220160 Beneditinos;4
220173 Betânia do Piauí;2
220180 Bocaina;1
220192 Bonfim do Piauí;1
220194 Boqueirão do Piauí;3
220205 Cabeceiras do Piauí;2
220209 Caldeirão Grande do Piauí;1
220213 Campo Grande do Piauí;4
220217 Campo Largo do Piauí;2
220220 Campo Maior;19
220230 Canto do Buriti;1
220240 Capitão de Campos;6
220245 Capitão Gervásio Oliveira;1
220260 Castelo do Piauí;3
220270 Cocal;1
220273 Coivaras;1
220275 Colônia do Gurguéia;2
220280 Conceição do Canindé;1
220285 Coronel José Dias;1
220300 Cristalândia do Piauí;2
220320 Curimatá;2
220325 Curralinhos;4
220330 Demerval Lobão;10
220350 Elesbão Veloso;2
220360 Eliseu Martins;1
220370 Esperantina;2
220390 Floriano;1
220400 Francinópolis;1
220430 Fronteiras;1
220470 Inhuma;2
220500 Itainópolis;2
220510 Itaueira;2
220525 Jardim do Mulato;4
220527 Jatobá do Piauí;2
220530 Jerumenha;1
220545 Joca Marques;1
220550 José de Freitas;14
220551 Juazeiro do Piauí;1
220555 Lagoa Alegre;1
220557 Lagoa de São Francisco;2
220558 Lagoa do Piauí;1
220580 Luzilândia;1
220590 Manoel Emídio;1
220595 Marcolândia;1
220610 Matias Olímpio;1
220620 Miguel Alves;5
220630 Miguel Leão;1
220640 Monsenhor Gil;5
220667 Morro do Chapéu do Piauí;2
220670 Nazaré do Piauí;1
220672 Nazária;11
220680 Nossa Senhora dos Remédios;1
220690 Novo Oriente do Piauí;1
220700 Oeiras;1
220720 Padre Marcos;1
220735 Pajeú do Piauí;1
220750 Palmeirais;2
220770 Parnaíba;1
220779 Pau D'Arco do Piauí;2
220780 Paulistana;1
220790 Pedro II;3
220800 Picos;3
220810 Pimenteiras;4
220830 Piracuruca;2
220840 Piripiri;9
220850 Porto;1
220855 Porto Alegre do Piauí;1
220860 Prata do Piauí;2
220880 Regeneração;4
220900 Rio Grande do Piauí;1
220915 Santa Cruz dos Milagres;3
220940 Santo Antônio de Lisboa;1
220960 São Félix do Piauí;3
220970 São Francisco do Piauí;1
220980 São Gonçalo do Piauí;1
220990 São João da Serra;1
220997 São João do Arraial;1
221000 São João do Piauí;3
221038 São Miguel da Baixa Grande;3
221039 São Miguel do Fidalgo;1
221040 São Miguel do Tapuio;3
221050 São Pedro do Piauí;3
221060 São Raimundo Nonato;4
221062 Sebastião Barros;1
221065 Sigefredo Pacheco;4
221080 Simplício Mendes;1
221090 Socorro do Piauí;1
221100 Teresina;1452
221110 União;18
221130 Valença do Piauí;2
221140 Várzea Grande;1
221170 Wall Ferraz;1
230015 Acarape;6
230020 Acaraú;31
230030 Acopiara;2
230050 Alcântaras;27
230075 Amontada;2
230090 Apuiarés;2
230100 Aquiraz;14
230110 Aracati;4
230120 Aracoiaba;5
230140 Aratuba;1
230150 Arneiroz;3
230185 Banabuiú;1
230195 Barreira;7
230210 Baturité;7
230220 Beberibe;7
230230 Bela Cruz;16
230240 Boa Viagem;4
230260 Camocim;18
230270 Campos Sales;1
230280 Canindé;12
230290 Capistrano;1
230300 Caridade;3
230310 Cariré;28
230340 Carnaubal;4
230350 Cascavel;11
230360 Catarina;1
230365 Catunda;7
230370 Caucaia;81
230380 Cedro;1
230390 Chaval;6
230395 Chorozinho;3
230400 Coreaú;41
230410 Crateús;11
230420 Crato;1
230423 Croatá;5
230425 Cruz;23
230428 Eusébio;9
230435 Forquilha;63
230440 Fortaleza;2241
230445 Fortim;1
230450 Frecheirinha;30
230460 General Sampaio;2
230465 Graça;18
230470 Granja;17
230490 Groaíras;25
230495 Guaiúba;5
230500 Guaraciaba do Norte;8
230510 Guaramiranga;3
230520 Hidrolândia;6
230523 Horizonte;15
230530 Ibiapina;7
230540 Icó;3
230550 Iguatu;3
230560 Independência;3
230580 Ipu;6
230590 Ipueiras;9
230600 Iracema;1
230610 Irauçuba;26
230620 Itaiçaba;1
230625 Itaitinga;7
230630 Itapagé;8
230640 Itapipoca;10
230650 Itapiúna;1
230655 Itarema;32
230660 Itatira;2
230670 Jaguaretama;1
230680 Jaguaribara;2
230690 Jaguaribe;6
230700 Jaguaruana;1
230725 Jijoca de Jericoacoara;12
230730 Juazeiro do Norte;1
230740 Jucás;2
230750 Lavras da Mangabeira;1
230760 Limoeiro do Norte;7
230763 Madalena;1
230765 Maracanaú;64
230770 Maranguape;27
230780 Marco;16
230790 Martinópole;10
230800 Massapê;67
230820 Meruoca;30
230835 Milhã;1
230850 Mombaça;1
230860 Monsenhor Tabosa;5
230870 Morada Nova;7
230880 Moraújo;8
230890 Morrinhos;19
230900 Mucambo;18
230910 Mulungu;4
230930 Nova Russas;5
230940 Novo Oriente;5
230945 Ocara;9
230960 Pacajus;18
230970 Pacatuba;8
230980 Pacoti;6
230990 Pacujá;9
231020 Paracuru;5
231025 Paraipaba;4
231030 Parambu;2
231050 Pedra Branca;2
231070 Pentecoste;3
231080 Pereiro;1
231085 Pindoretama;4
231090 Piquet Carneiro;1
231095 Pires Ferreira;2
231126 Quiterianópolis;6
231130 Quixadá;8
231135 Quixelô;1
231140 Quixeramobim;7
231150 Quixeré;2
231160 Redenção;2
231170 Reriutaba;9
231180 Russas;6
231190 Saboeiro;1
231220 Santa Quitéria;13
231200 Santana do Acaraú;39
231210 Santana do Cariri;1
231230 São Benedito;6
231240 São Gonçalo do Amarante;5
231250 São João do Jaguaribe;1
231270 Senador Pompeu;3
231280 Senador Sá;15
231290 Sobral;953
231300 Solonópole;2
231310 Tabuleiro do Norte;3
231320 Tamboril;6
231330 Tauá;3
231335 Tejuçuoca;1
231340 Tianguá;15
231350 Trairi;6
231360 Ubajara;7
231375 Umirim;4
231380 Uruburetama;1
231390 Uruoca;15
231395 Varjota;19
231410 Viçosa do Ceará;10
240010 Acari;1
240050 Alexandria;2
240080 Angicos;2
240090 Antônio Martins;1
240110 Areia Branca;1
240120 Arês;2
240130 Augusto Severo;1
240140 Baía Formosa;8
240150 Barcelona;2
240160 Bento Fernandes;1
240165 Bodó;1
240170 Bom Jesus;2
240180 Brejinho;3
240185 Caiçara do Norte;2
240190 Caiçara do Rio do Vento;3
240200 Caicó;3
240210 Campo Redondo;3
240220 Canguaretama;6
240240 Carnaúba dos Dantas;4
240250 Carnaubais;1
240260 Ceará-Mirim;42
240280 Coronel Ezequiel;4
240300 Cruzeta;3
240310 Currais Novos;8
240350 Espírito Santo;2
240360 Extremoz;45
240375 Fernando Pedroza;1
240410 Galinhos;1
240420 Goianinha;3
240440 Grossos;1
240450 Guamaré;6
240460 Ielmo Marinho;9
240470 Ipanguaçu;1
240500 Jaçanã;1
240510 Jandaíra;1
240540 Japi;1
240570 Jardim do Seridó;1
240580 João Câmara;16
240610 Jucurutu;4
240615 Jundiá;2
240620 Lagoa d'Anta;4
240630 Lagoa de Pedras;1
240640 Lagoa de Velhos;3
240650 Lagoa Nova;2
240660 Lagoa Salgada;4
240680 Lajes Pintadas;1
240710 Macaíba;24
240720 Macau;8
240750 Maxaranguape;15
240770 Montanhas;2
240780 Monte Alegre;5
240800 Mossoró;1
240810 Natal;877
240820 Nísia Floresta;5
240830 Nova Cruz;9
240880 Parazinho;1
240890 Parelhas;1
240325 Parnamirim;66
240910 Passa e Fica;1
240920 Passagem;1
240940 Pau dos Ferros;1
240970 Pedro Avelino;1
240980 Pedro Velho;4
240990 Pendências;1
241010 Poço Branco;6
241030 Serra Caiada (Presidente Juscelino);2
241040 Pureza;12
241090 Riachuelo;2
240895 Rio do Fogo;5
241120 Santa Cruz;4
240933 Santa Maria;3
241140 Santana do Matos;1
241150 Santo Antônio;5
241200 São Gonçalo do Amarante;58
241220 São José de Mipibu;15
241230 São José do Campestre;2
241250 São Miguel;4
241260 São Paulo do Potengi;4
241270 São Pedro;1
241280 São Rafael;1
241290 São Tomé;5
241300 São Vicente;2
241320 Senador Georgino Avelino;2
241330 Serra de São Bento;2
241335 Serra do Mel;2
241350 Serrinha;5
241370 Sítio Novo;1
241390 Taipu;9
241400 Tangará;6
241420 Tibau do Sul;3
241430 Timbaúba dos Batistas;1
241440 Touros;21
241450 Umarizal;1
241480 Vera Cruz;5
250010 Água Branca;1
250050 Alagoinha;3
250060 Alhandra;10
250080 Araçagi;1
250100 Araruna;2
250110 Areia;2
250130 Aroeiras;1
250140 Baía da Traição;5
250150 Bananeiras;1
250180 Bayeux;97
250190 Belém;2
250215 Boa Vista;2
250300 Caaporã;12
250320 Cabedelo;53
250360 Caiçara;2
250370 Cajazeiras;2
250380 Caldas Brandão;6
250400 Campina Grande;2
250403 Capim;5
250440 Conceição;1
250460 Conde;41
250490 Cruz do Espírito Santo;11
250510 Cuité;2
250523 Cuité de Mamanguape;3
250527 Curral de Cima;3
250570 Dona Inês;1
250630 Guarabira;8
250640 Gurinhém;5
250690 Itabaiana;12
250700 Itaporanga;1
250710 Itapororoca;9
250730 Jacaraú;5
250750 João Pessoa;1329
250790 Juripiranga;7
250800 Juru;1
250820 Lagoa de Dentro;1
250860 Lucena;12
250890 Mamanguape;25
250905 Marcação;5
250910 Mari;9
250920 Massaranduba;1
250930 Mataraca;20
250980 Mulungu;1
250990 Natuba;1
251080 Patos;1
251090 Paulista;3
251120 Pedras de Fogo;8
251272 Pedro Régis;4
251150 Pilar;6
251160 Pilões;3
251170 Pilõezinhos;1
251180 Pirpirituba;4
251190 Pitimbu;18
251210 Pombal;2
251276 Riachão do Poço;2
251290 Rio Tinto;15
251310 Salgado de São Félix;5
251315 Santa Cecília;1
251340 Santa Luzia;1
251370 Santa Rita;99
251385 Santo André;1
251390 São Bento;1
251400 São João do Cariri;1
251445 São José dos Ramos;2
251500 São Miguel de Taipu;6
251530 Sapé;28
251560 Serra da Raiz;2
251590 Serraria;2
251593 Sertãozinho;1
251597 Sobrado;5
251620 Sousa;2
251710 Várzea;1
260005 Abreu e Lima;97
260040 Água Preta;2
260050 Águas Belas;1
260070 Aliança;4
260105 Araçoiaba;6
260110 Araripina;1
260170 Belo Jardim;1
260190 Bezerros;3
260210 Bom Conselho;1
260220 Bom Jardim;2
260230 Bonito;1
260290 Cabo de Santo Agostinho;76
260310 Cachoeirinha;1
260320 Caetés;1
260345 Camaragibe;22
260360 Camutanga;1
260380 Capoeiras;1
260400 Carpina;6
260410 Caruaru;7
260450 Chã Grande;4
260480 Cortês;1
260500 Cupira;1
260510 Custódia;3
260520 Escada;11
260540 Feira Nova;2
260550 Ferreiros;2
260580 Frei Miguelinho;1
260590 Gameleira;4
260600 Garanhuns;5
260610 Glória do Goitá;8
260620 Goiana;10
260640 Gravatá;6
260650 Iati;2
260660 Ibimirim;1
260680 Igarassu;33
260760 Ilha de Itamaracá;12
260720 Ipojuca;15
260765 Itambé;5
260775 Itapissuma;8
260780 Itaquitinga;1
260790 Jaboatão dos Guararapes;1297
260810 João Alfredo;1
260850 Lagoa de Itaenga;2
260845 Lagoa do Carro;1
260875 Lagoa Grande;1
260890 Limoeiro;4
260900 Macaparana;1
260940 Moreno;55
260950 Nazaré da Mata;4
260960 Olinda;2105
260970 Orobó;2
261000 Palmares;4
261050 Passira;2
261060 Paudalho;3
261070 Paulista;746
261090 Pesqueira;4
261120 Poção;2
261130 Pombos;2
261140 Primavera;3
261160 Recife;1060
261180 Ribeirão;4
261190 Rio Formoso;4
261245 Santa Cruz;1
261250 Santa Cruz do Capibaribe;2
261300 São Bento do Una;1
261310 São Caitano;1
261370 São Lourenço da Mata;16
261380 São Vicente Ferrer;4
261390 Serra Talhada;1
261420 Sirinhaém;5
261450 Surubim;3
261485 Tamandaré;3
261530 Timbaúba;12
261580 Tupanatinga;1
261600 Venturosa;1
261630 Vicência;2
261640 Vitória de Santo Antão;16
261650 Xexéu;1
270020 Anadia;1
270040 Atalaia;3
270050 Barra de Santo Antônio;2
270060 Barra de São Miguel;2
270100 Boca da Mata;9
270110 Branquinha;2
270130 Cajueiro;3
270135 Campestre;1
270150 Campo Grande;1
270170 Capela;1
270190 Chã Preta;1
270210 Colônia Leopoldina;2
270220 Coqueiro Seco;3
270230 Coruripe;2
270280 Flexeiras;3
270300 Ibateguara;3
270360 Japaratinga;3
270380 Joaquim Gomes;4
270430 Maceió;592
270490 Mar Vermelho;3
270450 Maragogi;6
270470 Marechal Deodoro;32
270510 Matriz de Camaragibe;4
270520 Messias;7
270550 Murici;7
270560 Novo Lino;2
270644 Paripueira;1
270650 Passo de Camaragibe;3
270660 Paulo Jacinto;1
270670 Penedo;1
270690 Pilar;12
270730 Porto Calvo;2
270740 Porto de Pedras;3
270770 Rio Largo;25
270780 Roteiro;2
270790 Santa Luzia do Norte;9
270800 Santana do Ipanema;1
270810 Santana do Mundaú;1
270820 São Brás;1
270830 São José da Laje;2
270850 São Luís do Quitunde;6
270860 São Miguel dos Campos;8
270870 São Miguel dos Milagres;1
270890 Satuba;10
270930 União dos Palmares;3
270940 Viçosa;2
280020 Aquidabã;13
280030 Aracaju;1103
280040 Arauá;2
280050 Areia Branca;6
280060 Barra dos Coqueiros;27
280067 Boquim;3
280070 Brejo Grande;3
280100 Campo do Brito;2
280110 Canhoba;1
280120 Canindé de São Francisco;3
280130 Capela;14
280150 Carmópolis;11
280170 Cristinápolis;3
280190 Cumbe;1
280200 Divina Pastora;3
280210 Estância;15
280220 Feira Nova;2
280230 Frei Paulo;7
280240 Gararu;2
280260 Gracho Cardoso;1
280270 Ilha das Flores;2
280290 Itabaiana;21
280300 Itabaianinha;14
280320 Itaporanga d'Ajuda;21
280330 Japaratuba;11
280340 Japoatã;2
280350 Lagarto;10
280360 Laranjeiras;26
280380 Malhada dos Bois;1
280390 Malhador;1
280400 Maruim;16
280410 Moita Bonita;1
280420 Monte Alegre de Sergipe;2
280430 Muribeca;3
280440 Neópolis;3
280445 Nossa Senhora Aparecida;2
280450 Nossa Senhora da Glória;4
280460 Nossa Senhora das Dores;9
280480 Nossa Senhora do Socorro;224
280490 Pacatuba;2
280530 Pirambu;5
280540 Poço Redondo;2
280550 Poço Verde;7
280560 Porto da Folha;3
280570 Propriá;9
280580 Riachão do Dantas;3
280590 Riachuelo;3
280600 Ribeirópolis;3
280610 Rosário do Catete;2
280620 Salgado;5
280630 Santa Luzia do Itanhy;3
280650 Santa Rosa de Lima;2
280660 Santo Amaro das Brotas;10
280670 São Cristóvão;113
280680 São Domingos;3
280690 São Francisco;1
280710 Simão Dias;8
280720 Siriri;4
280730 Telha;1
280740 Tobias Barreto;2
280750 Tomar do Geru;6
280760 Umbaúba;9
290020 Abaré;1
290035 Adustina;5
290080 Alcobaça;1
290100 Amargosa;2
290110 Amélia Rodrigues;3
290115 América Dourada;1
290160 Antas;1
290210 Araci;2
290260 Baixa Grande;1
290265 Banzaê;1
290270 Barra;2
290327 Barrocas;2
290405 Bonito;1
290490 Cachoeira;2
290520 Caetité;1
290570 Camaçari;8
290650 Candeias;2
290680 Cansanção;1
290687 Capim Grosso;1
290750 Catu;1
290820 Conceição da Feira;1
290840 Conceição do Coité;2
290850 Conceição do Jacuípe;2
290920 Coronel João Sá;5
290930 Correntina;1
290960 Crisópolis;1
291005 Dias d'Ávila;5
291070 Euclides da Cunha;1
291075 Fátima;2
291080 Feira de Santana;2
291140 Glória;1
291160 Governador Mangabeira;1
291170 Guanambi;1
291440 Iraquara;1
291610 Itaparica;1
291650 Itapicuru;2
291750 Jacobina;2
291780 Jaguaripe;1
291810 Jeremoabo;1
291820 Jiquiriçá;2
291920 Lauro de Freitas;18
291990 Macururé;1
292010 Mairi;1
292100 Mata de São João;2
292120 Miguel Calmon;2
292150 Monte Santo;1
292230 Muritiba;1
292265 Nordestina;1
292300 Nova Viçosa;1
292303 Novo Horizonte;1
292310 Olindina;1
292380 Paripiranga;2
292400 Paulo Afonso;2
292420 Pedro Alexandre;2
292520 Pojuca;1
292580 Queimadas;1
292595 Rafael Jambeiro;1
292650 Ribeira do Amparo;1
292660 Ribeira do Pombal;1
292700 Rio Real;8
292740 Salvador;839
292750 Santa Bárbara;1
292760 Santa Brígida;1
292805 Santa Luzia;1
292860 Santo Amaro;2
292910 São Felipe;1
292950 São Sebastião do Passé;2
292980 Saúde;1
293050 Serrinha;1
293070 Simões Filho;16
293076 Sítio do Quinto;1
293245 Umburanas;1
293290 Valença;3
293300 Valente;3
293305 Várzea da Roça;1
293320 Vera Cruz;2
310010 Abadia dos Dourados;1
310020 Abaeté;1
310030 Abre Campo;2
310060 Água Boa;1
310400 Araxá;1
310450 Arinos;1
310500 Baldim;1
310620 Belo Horizonte;1089
310630 Belo Oriente;1
310670 Betim;13
310900 Brumadinho;1
310940 Buritizeiro;1
311000 Caeté;1
311060 Cambuí;1
311530 Cataguases;1
311800 Congonhas;1
311860 Contagem;47
311910 Corinto;1
311940 Coronel Fabriciano;1
312090 Curvelo;1
312220 Divinolândia de Minas;1
312410 Esmeraldas;4
312570 Felixlândia;1
312620 Formoso;1
312700 Fronteira;3
312980 Ibirité;4
313010 Igarapé;2
313090 Inhapim;1
313190 Itabirito;4
313240 Itajubá;1
313460 Jaboticatubas;1
313490 Jacutinga;1
313657 Josenópolis;1
313665 Juatuba;2
313760 Lagoa Santa;15
313960 Mantena;1
314110 Matozinhos;1
314180 Minas Novas;1
314340 Monte Sião;1
314380 Munhoz;1
314480 Nova Lima;7
313660 Nova União;1
314590 Ouro Branco;1
314610 Ouro Preto;1
314710 Pará de Minas;1
314700 Paracatu;2
314890 Pedra do Indaiá;1
314930 Pedro Leopoldo;10
315320 Presidente Juscelino;1
315390 Raposos;2
315460 Ribeirão das Neves;42
315470 Ribeirão Vermelho;1
315480 Rio Acima;1
315670 Sabará;35
315700 Salinas;1
315780 Santa Luzia;38
315900 Santana do Riacho;5
316165 São Geraldo do Baixio;1
316190 São Gonçalo do Rio Abaixo;1
316295 São José da Lapa;6
316430 São Roque de Minas;1
316720 Sete Lagoas;2
317010 Uberaba;1
317040 Unaí;6
317120 Vespasiano;39
320010 Afonso Cláudio;6
320030 Alfredo Chaves;6
320060 Aracruz;6
320080 Baixo Guandu;1
320090 Barra de São Francisco;2
320115 Brejetuba;3
320130 Cariacica;350
320140 Castelo;5
320150 Colatina;3
320170 Conceição do Castelo;5
320190 Domingos Martins;17
320220 Fundão;9
320240 Guarapari;16
320245 Ibatiba;3
320260 Iconha;1
320280 Itapemirim;1
320290 Itarana;2
320300 Iúna;1
320305 Jaguaré;1
320313 João Neiva;3
320316 Laranja da Terra;1
320320 Linhares;2
320334 Marechal Floriano;18
320370 Muniz Freire;1
320420 Piúma;2
320450 Santa Leopoldina;6
320455 Santa Maria de Jetibá;14
320460 Santa Teresa;2
320470 São Gabriel da Palha;1
320500 Serra;397
320501 Sooretama;1
320506 Venda Nova do Imigrante;6
320510 Viana;88
320517 Vila Valério;2
320520 Vila Velha;134
320530 Vitória;776
330010 Angra dos Reis;1
330045 Belford Roxo;7
330170 Duque de Caxias;20
330200 Itaguaí;2
330227 Japeri;4
330285 Mesquita;6
330320 Nilópolis;8
330330 Niterói;6
330350 Nova Iguaçu;41
330390 Petrópolis;1
330414 Queimados;3
330455 Rio de Janeiro;1992
330490 São Gonçalo;6
330510 São João de Meriti;9
330555 Seropédica;4
330560 Silva Jardim;1
350020 Adolfo;1
350050 Águas de Lindóia;1
350100 Altinópolis;4
350160 Americana;3
350200 Analândia;1
350250 Aparecida;1
350280 Araçatuba;2
350320 Araraquara;1
350390 Arujá;1
350410 Atibaia;8
350420 Auriflama;2
350460 Bady Bassitt;15
350480 Bálsamo;8
350550 Barretos;2
350560 Barrinha;2
350600 Bauru;1
350780 Brodowski;2
350810 Buritama;1
350840 Cabreúva;27
350900 Caieiras;3
350920 Cajamar;6
350940 Cajuru;3
350950 Campinas;860
350960 Campo Limpo Paulista;43
351070 Cardoso;1
351090 Cássia dos Coqueiros;1
351110 Catanduva;3
351130 Cedral;3
351280 Cosmópolis;3
351310 Cravinhos;15
351380 Diadema;795
351390 Divinolândia;1
351430 Dourado;1
351490 Elias Fausto;1
351610 Florínia;3
351620 Franca;1
351630 Francisco Morato;3
351640 Franco da Rocha;2
351750 Guapiaçu;13
351760 Guapiara;1
351770 Guará;1
351820 Guararapes;1
351830 Guararema;1
351860 Guariba;3
351870 Guarujá;1
351880 Guarulhos;1215
351885 Guatapará;1
351900 Herculândia;1
351905 Holambra;1
351907 Hortolândia;20
351940 Ibirá;3
351980 Icém;6
352050 Indaiatuba;2
352115 Ipiguá;4
352260 Itapira;2
352310 Itaquaquecetuba;2
